epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1837.97,1.0817,0.90377,1.46981,0.8166,0.8363,0.86362,0.55868,1.20828,0.87439,1.59219,0.00136402,0.00136402,0.00136402
112,1852.56,1.05851,0.87361,1.4416,0.84357,0.81806,0.89275,0.57295,1.20313,0.80038,1.63067,0.00136286,0.00136286,0.00136286
113,1868.04,1.03148,0.86403,1.42402,0.697,0.72733,0.75087,0.46977,1.26555,1.11112,1.69711,0.00136168,0.00136168,0.00136168
114,1882.74,1.02356,0.86966,1.40956,0.83477,0.80437,0.85025,0.55473,1.19926,0.85144,1.61132,0.00136049,0.00136049,0.00136049
115,1897.29,1.07193,0.89758,1.43962,0.80059,0.81944,0.84531,0.56008,1.18828,0.84996,1.5865,0.00135929,0.00135929,0.00135929
116,1911.93,1.05544,0.87195,1.42578,0.69471,0.63649,0.66836,0.4086,1.35087,1.32866,1.7553,0.00135809,0.00135809,0.00135809
117,1926.45,1.04537,0.89026,1.42393,0.86534,0.79228,0.8853,0.58096,1.18287,0.82844,1.59021,0.00135687,0.00135687,0.00135687
118,1940.94,1.05702,0.87684,1.42471,0.78888,0.73465,0.84203,0.54066,1.21336,0.94911,1.58602,0.00135564,0.00135564,0.00135564
119,1955.93,1.04063,0.86245,1.42084,0.84696,0.80565,0.88329,0.57572,1.15928,0.79148,1.571,0.00135441,0.00135441,0.00135441
120,1990.84,1.07436,0.88864,1.42378,0.73574,0.77906,0.83815,0.52412,1.26434,1.03201,1.71631,0.00135316,0.00135316,0.00135316
121,2005.43,1.06637,0.87008,1.42782,0.82175,0.81278,0.86912,0.54558,1.23762,0.88736,1.69865,0.0013519,0.0013519,0.0013519
122,2020.03,1.0614,0.86133,1.41955,0.77588,0.75524,0.79608,0.50577,1.21805,0.97639,1.6759,0.00135064,0.00135064,0.00135064
123,2062.99,1.07223,0.87425,1.43232,0.87511,0.82267,0.88529,0.55861,1.26361,0.84328,1.65582,0.00134936,0.00134936,0.00134936
124,2077.66,1.03367,0.8376,1.41441,0.89475,0.8485,0.91191,0.60398,1.12664,0.75066,1.53545,0.00134808,0.00134808,0.00134808
125,2092.38,1.0161,0.85067,1.40326,0.79061,0.7559,0.80715,0.52892,1.19526,0.96563,1.62076,0.00134678,0.00134678,0.00134678
126,2107.72,1.04147,0.87789,1.40491,0.75677,0.81911,0.82845,0.51126,1.27444,0.93856,1.74319,0.00134548,0.00134548,0.00134548
127,2122.33,1.02591,0.85272,1.40303,0.9006,0.79228,0.89577,0.60291,1.16354,0.7984,1.54604,0.00134416,0.00134416,0.00134416
128,2137.23,1.01262,0.83176,1.39934,0.84062,0.79726,0.86977,0.56918,1.21867,0.91273,1.60779,0.00134284,0.00134284,0.00134284
129,2151.89,1.02917,0.82681,1.38188,0.84815,0.81774,0.8797,0.57244,1.1664,0.79726,1.60972,0.0013415,0.0013415,0.0013415
130,2166.41,1.02647,0.82281,1.39319,0.81871,0.84164,0.87802,0.58676,1.17339,0.80201,1.58129,0.00134016,0.00134016,0.00134016
131,2180.92,0.98643,0.81033,1.37026,0.84569,0.8597,0.90374,0.60188,1.12294,0.74341,1.57574,0.00133881,0.00133881,0.00133881
132,2195.82,1.02291,0.82317,1.4004,0.85953,0.82798,0.8906,0.60989,1.1081,0.7502,1.5426,0.00133745,0.00133745,0.00133745
133,2210.59,0.99702,0.81851,1.37199,0.8413,0.85299,0.89436,0.60576,1.14117,0.74858,1.52491,0.00133608,0.00133608,0.00133608
134,2225.55,0.99773,0.80829,1.37944,0.87743,0.8268,0.9194,0.62618,1.12459,0.74701,1.52345,0.00133469,0.00133469,0.00133469
135,2240.63,1.01382,0.80322,1.38409,0.82447,0.80261,0.86094,0.57452,1.13487,0.83527,1.56241,0.0013333,0.0013333,0.0013333
136,2255.17,0.98396,0.7998,1.36867,0.83186,0.8691,0.89986,0.61775,1.11821,0.75055,1.52525,0.0013319,0.0013319,0.0013319
137,2269.87,0.99326,0.81194,1.36529,0.87204,0.83803,0.89432,0.61595,1.11564,0.75917,1.49333,0.0013305,0.0013305,0.0013305
138,2284.44,0.99814,0.79864,1.36747,0.88428,0.81571,0.89323,0.60018,1.15913,0.75213,1.52756,0.00132908,0.00132908,0.00132908
139,2299.25,0.97264,0.77996,1.35742,0.84816,0.81911,0.8959,0.58615,1.16295,0.77644,1.60083,0.00132765,0.00132765,0.00132765
140,2313.9,0.99533,0.81413,1.36516,0.88623,0.82685,0.91195,0.60071,1.15197,0.75987,1.58137,0.00132621,0.00132621,0.00132621
141,2328.43,0.9778,0.80706,1.35078,0.78405,0.82785,0.87002,0.56942,1.17452,0.82043,1.61044,0.00132476,0.00132476,0.00132476
142,2343.31,0.94303,0.76131,1.32379,0.88509,0.81411,0.90907,0.61125,1.13184,0.73955,1.53109,0.00132331,0.00132331,0.00132331
143,2357.99,0.98863,0.81056,1.35446,0.84939,0.82641,0.90171,0.60402,1.12519,0.78564,1.55861,0.00132184,0.00132184,0.00132184
144,2372.47,0.97816,0.79481,1.35417,0.81469,0.80346,0.87239,0.58394,1.16064,0.82576,1.55158,0.00132037,0.00132037,0.00132037
145,2388.01,1.00472,0.79155,1.37344,0.83964,0.82076,0.87598,0.5777,1.15783,0.8088,1.55253,0.00131888,0.00131888,0.00131888
146,2402.53,0.97351,0.7898,1.35895,0.81536,0.83152,0.87739,0.58595,1.1383,0.81389,1.56957,0.00131739,0.00131739,0.00131739
147,2417.13,0.97992,0.78316,1.34605,0.79201,0.85258,0.88326,0.59326,1.16386,0.81889,1.56215,0.00131589,0.00131589,0.00131589
148,2431.88,0.96829,0.78614,1.34335,0.88525,0.79681,0.88753,0.60132,1.13185,0.77277,1.52801,0.00131438,0.00131438,0.00131438
149,2446.4,0.9881,0.78158,1.34959,0.77732,0.84991,0.87254,0.58204,1.13927,0.82536,1.56073,0.00131286,0.00131286,0.00131286
